from,to,class,quality,notes
2021-12-11 04:00:00,2021-12-21 13:45:00,,,
2021-12-23 00:00:00,2022-01-01 20:00:00,,,
2022-01-02 05:30:00,2022-01-09 03:30:00,,,
2022-01-17 20:30:00,2022-01-21 23:00:00,,,
2022-01-30 17:00:00,2022-02-04 18:30:00,,,
2022-02-19 10:00:00,2022-03-05 20:00:00,,,
2022-03-07 13:30:00,2022-03-10 23:00:00,,,
2022-03-14 13:45:00,2022-03-19 20:00:00,,,
2022-03-19 21:00:00,2022-03-21 04:00:00,,,
2022-03-24 00:00:00,2022-03-26 16:00:00,,,
2022-03-28 19:30:00,2022-03-29 19:00:00,,,
2022-04-04 13:45:00,2022-04-06 17:30:00,,,
2022-04-18 20:30:00,2022-04-22 00:15:00,,,
2022-04-22 00:45:00,2022-04-23 20:30:00,,,
2022-05-09 00:15:00,2022-05-11 17:00:00,,,
2022-05-18 14:15:00,2022-05-22 14:00:00,,,
2022-06-12 20:15:00,2022-06-15 22:45:00,,,
2022-06-23 13:00:00,2022-06-23 19:30:00,,,
2022-06-24 03:15:00,2022-06-24 17:30:00,,,
2022-11-25 11:45:00,2022-12-08 22:30:00,,,
2022-12-14 00:00:00,2022-12-26 12:45:00,,,
2022-12-26 13:30:00,2023-01-01 03:00:00,,,
2023-01-27 04:00:00,2023-02-02 10:00:00,,,
2023-02-07 09:45:00,2023-02-09 12:45:00,,,
2023-02-19 19:00:00,2023-02-25 04:00:00,,,
2023-02-26 13:00:00,2023-03-02 10:45:00,,,
2023-03-02 16:30:00,2023-03-04 17:00:00,,,
2023-03-04 18:00:00,2023-03-07 20:00:00,,,
2023-03-13 12:45:00,2023-03-18 21:30:00,,,
2023-03-24 07:30:00,2023-03-31 18:30:00,,,
2023-04-01 18:45:00,2023-04-06 05:00:00,,,
2023-04-09 22:00:00,2023-04-16 17:00:00,,,
2023-04-16 18:45:00,2023-04-17 23:00:00,,,
2023-05-07 22:45:00,2023-05-08 14:45:00,,,
2023-06-14 19:00:00,2023-06-15 12:00:00,,,
2023-06-19 23:15:00,2023-06-21 17:15:00,,,
